[2025-10-04 15:01:11] Dispositivo: Pico W_11f0bb, Leitura: 107, Horario: 2025-10-04 15:01:11, Temp: 27.1, Umid: 49.8
[2025-10-04 15:01:33] Dispositivo: Pico W_11f0bb, Leitura: 108, Horario: 2025-10-04 15:01:34, Temp: 27.1, Umid: 49.8
[2025-10-04 15:01:56] Dispositivo: Pico W_11f0bb, Leitura: 109, Horario: 2025-10-04 15:01:56, Temp: 27.1, Umid: 49.8
[2025-10-04 15:02:18] Dispositivo: Pico W_11f0bb, Leitura: 110, Horario: 2025-10-04 15:02:18, Temp: 27.1, Umid: 49.9
[2025-10-04 15:02:40] Dispositivo: Pico W_11f0bb, Leitura: 111, Horario: 2025-10-04 15:02:41, Temp: 27.1, Umid: 50.0
[2025-10-04 15:03:03] Dispositivo: Pico W_11f0bb, Leitura: 112, Horario: 2025-10-04 15:03:03, Temp: 27.1, Umid: 50.1
[2025-10-04 15:03:25] Dispositivo: Pico W_11f0bb, Leitura: 113, Horario: 2025-10-04 15:03:25, Temp: 27.1, Umid: 50.1
[2025-10-04 15:03:47] Dispositivo: Pico W_11f0bb, Leitura: 114, Horario: 2025-10-04 15:03:48, Temp: 27.0, Umid: 50.2
[2025-10-04 15:04:10] Dispositivo: Pico W_11f0bb, Leitura: 115, Horario: 2025-10-04 15:04:10, Temp: 27.0, Umid: 50.2
[2025-10-04 15:04:32] Dispositivo: Pico W_11f0bb, Leitura: 116, Horario: 2025-10-04 15:04:32, Temp: 27.0, Umid: 50.2
[2025-10-04 15:04:54] Dispositivo: Pico W_11f0bb, Leitura: 117, Horario: 2025-10-04 15:04:55, Temp: 27.0, Umid: 50.3
[2025-10-04 15:05:17] Dispositivo: Pico W_11f0bb, Leitura: 118, Horario: 2025-10-04 15:05:17, Temp: 27.0, Umid: 50.3
[2025-10-04 15:05:39] Dispositivo: Pico W_11f0bb, Leitura: 119, Horario: 2025-10-04 15:05:39, Temp: 27.0, Umid: 50.4
[2025-10-04 15:06:01] Dispositivo: Pico W_11f0bb, Leitura: 120, Horario: 2025-10-04 15:06:01, Temp: 27.0, Umid: 50.3
[2025-10-04 15:06:23] Dispositivo: Pico W_11f0bb, Leitura: 121, Horario: 2025-10-04 15:06:24, Temp: 27.0, Umid: 50.4
[2025-10-04 15:06:46] Dispositivo: Pico W_11f0bb, Leitura: 122, Horario: 2025-10-04 15:06:46, Temp: 27.0, Umid: 50.4
[2025-10-04 15:07:08] Dispositivo: Pico W_11f0bb, Leitura: 123, Horario: 2025-10-04 15:07:08, Temp: 27.0, Umid: 50.4
