Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
12/07/2025;2200;19,4;55,8
12/07/2025;2300;19,4;59,3
13/07/2025;0000;18,1;62,4
13/07/2025;0100;16,7;67,4
13/07/2025;0200;16,9;71,6
13/07/2025;0300;17,7;74,4
13/07/2025;0400;16,9;76,1
13/07/2025;0500;16,5;78,1
13/07/2025;0600;16,2;79,7
13/07/2025;0700;16,4;80,9
13/07/2025;0800;16,2;81,5
13/07/2025;0900;15,8;82,2
13/07/2025;1000;15,4;83,4
13/07/2025;1100;15,7;84,4
13/07/2025;1200;17,0;84,2
13/07/2025;1300;19,2;81,3
13/07/2025;1400;20,7;73,2
13/07/2025;1500;21,8;64,8
13/07/2025;1600;22,8;56,8
13/07/2025;1700;23,7;51,2
13/07/2025;1800;24,4;46,1
13/07/2025;1900;24,7;43,0
13/07/2025;2000;23,8;41,5
13/07/2025;2100;22,6;44,7
13/07/2025;2200;20,1;54,7
13/07/2025;2300;19,3;58,5
14/07/2025;0000;18,6;59,1
14/07/2025;0100;17,8;63,1
14/07/2025;0200;17,4;65,0
14/07/2025;0300;17,1;66,3
14/07/2025;0400;16,6;67,9
14/07/2025;0500;15,9;70,0
14/07/2025;0600;15,8;71,9
14/07/2025;0700;15,5;73,2
14/07/2025;0800;15,3;74,8
14/07/2025;0900;14,9;76,1
14/07/2025;1000;14,7;77,8
14/07/2025;1100;14,9;79,6
14/07/2025;1200;16,4;80,1
14/07/2025;1300;18,0;76,1
14/07/2025;1400;19,6;69,6
14/07/2025;1500;21,1;62,5
14/07/2025;1600;22,0;56,6
14/07/2025;1700;23,0;52,5
14/07/2025;1800;24,1;49,2
14/07/2025;1900;23,8;48,1
14/07/2025;2000;22,9;49,2
14/07/2025;2100;20,6;55,6
14/07/2025;2200;18,2;62,5
14/07/2025;2300;17,3;66,7
15/07/2025;0000;16,1;70,9
15/07/2025;0100;17,6;72,4
15/07/2025;0200;16,5;70,1
15/07/2025;0300;14,8;73,1
15/07/2025;0400;15,1;75,1
15/07/2025;0500;14,3;75,4
15/07/2025;0600;12,8;76,7
15/07/2025;0700;12,0;78,5
15/07/2025;0800;11,5;80,2
15/07/2025;0900;10,6;81,9
15/07/2025;1000;10,5;83,5
15/07/2025;1100;12,2;84,3
15/07/2025;1200;17,3;82,8
15/07/2025;1300;20,5;75,6
15/07/2025;1400;22,1;61,9
15/07/2025;1500;23,6;51,2
15/07/2025;1600;24,7;42,5
15/07/2025;1700;25,2;37,1
15/07/2025;1800;25,6;35,3
15/07/2025;1900;26,0;33,8
15/07/2025;2000;24,5;34,4
15/07/2025;2100;21,3;39,4
15/07/2025;2200;18,8;45,0
15/07/2025;2300;17,9;49,7
16/07/2025;0000;18,0;50,4
16/07/2025;0100;17,1;51,6
16/07/2025;0200;15,5;54,5
16/07/2025;0300;13,9;58,7
16/07/2025;0400;13,3;61,5
16/07/2025;0500;12,5;63,7
16/07/2025;0600;11,6;66,1
16/07/2025;0700;10,6;68,8
16/07/2025;0800;10,8;71,1
16/07/2025;0900;10,3;72,0
16/07/2025;1000;9,7;73,0
16/07/2025;1100;11,2;73,6
16/07/2025;1200;16,0;69,2
16/07/2025;1300;19,1;58,0
16/07/2025;1400;21,1;49,8
16/07/2025;1500;23,3;44,6
16/07/2025;1600;24,5;38,6
16/07/2025;1700;25,4;36,3
16/07/2025;1800;25,8;35,0
16/07/2025;1900;25,7;35,0
16/07/2025;2000;24,6;36,3
16/07/2025;2100;21,9;40,5
16/07/2025;2200;19,4;46,2
16/07/2025;2300;17,6;52,1
17/07/2025;0000;17,5;54,8
17/07/2025;0100;17,9;54,7
17/07/2025;0200;17,6;53,8
17/07/2025;0300;14,1;58,6
17/07/2025;0400;13,1;65,0
17/07/2025;0500;12,4;68,9
17/07/2025;0600;11,7;72,6
17/07/2025;0700;11,0;75,4
17/07/2025;0800;10,7;77,9
17/07/2025;0900;10,5;79,6
17/07/2025;1000;9,6;80,9
17/07/2025;1100;11,5;81,9
17/07/2025;1200;15,2;80,8
17/07/2025;1300;18,7;73,2
17/07/2025;1400;21,2;61,4
17/07/2025;1500;22,9;52,9
17/07/2025;1600;24,8;46,8
17/07/2025;1700;25,9;41,4
17/07/2025;1800;26,5;39,2
17/07/2025;1900;26,8;37,5
17/07/2025;2000;26,2;37,1
17/07/2025;2100;23,5;40,5
17/07/2025;2200;20,1;48,4
17/07/2025;2300;19,3;53,1
18/07/2025;0000;18,7;56,2
