[2025-10-03 18:55:46] Dispositivo: Pico W_11f0bb, Leitura: 63, Horario: 2025-10-03 18:55:47, Temp: 23.1, Umid: 69.4
[2025-10-03 18:56:08] Dispositivo: Pico W_11f60f, Leitura: 64, Horario: 2025-10-03 18:56:08, Temp: 23.2, Umid: 70.8
[2025-10-03 18:56:09] Dispositivo: Pico W_11f0bb, Leitura: 64, Horario: 2025-10-03 18:56:09, Temp: 23.1, Umid: 69.4
[2025-10-03 18:56:30] Dispositivo: Pico W_11f60f, Leitura: 65, Horario: 2025-10-03 18:56:31, Temp: 23.2, Umid: 70.8
[2025-10-03 18:56:31] Dispositivo: Pico W_11f0bb, Leitura: 65, Horario: 2025-10-03 18:56:32, Temp: 23.1, Umid: 69.4
[2025-10-03 18:56:52] Dispositivo: Pico W_11f60f, Leitura: 66, Horario: 2025-10-03 18:56:53, Temp: 23.2, Umid: 70.8
[2025-10-03 18:56:53] Dispositivo: Pico W_11f0bb, Leitura: 66, Horario: 2025-10-03 18:56:54, Temp: 23.1, Umid: 69.4
[2025-10-03 18:57:15] Dispositivo: Pico W_11f60f, Leitura: 67, Horario: 2025-10-03 18:57:15, Temp: 23.1, Umid: 70.9
[2025-10-03 18:57:16] Dispositivo: Pico W_11f0bb, Leitura: 67, Horario: 2025-10-03 18:57:16, Temp: 23.1, Umid: 69.5
[2025-10-03 18:57:37] Dispositivo: Pico W_11f60f, Leitura: 68, Horario: 2025-10-03 18:57:37, Temp: 23.2, Umid: 70.8
[2025-10-03 18:57:38] Dispositivo: Pico W_11f0bb, Leitura: 68, Horario: 2025-10-03 18:57:39, Temp: 23.1, Umid: 69.5
[2025-10-03 18:57:59] Dispositivo: Pico W_11f60f, Leitura: 69, Horario: 2025-10-03 18:58:00, Temp: 23.2, Umid: 70.9
[2025-10-03 18:58:00] Dispositivo: Pico W_11f0bb, Leitura: 69, Horario: 2025-10-03 18:58:01, Temp: 23.1, Umid: 69.5
[2025-10-03 18:58:22] Dispositivo: Pico W_11f60f, Leitura: 70, Horario: 2025-10-03 18:58:22, Temp: 23.2, Umid: 70.8
[2025-10-03 18:58:23] Dispositivo: Pico W_11f0bb, Leitura: 70, Horario: 2025-10-03 18:58:23, Temp: 23.1, Umid: 69.4
[2025-10-03 18:58:44] Dispositivo: Pico W_11f60f, Leitura: 71, Horario: 2025-10-03 18:58:44, Temp: 23.3, Umid: 70.8
[2025-10-03 18:58:45] Dispositivo: Pico W_11f0bb, Leitura: 71, Horario: 2025-10-03 18:58:46, Temp: 23.2, Umid: 69.4
