Leitura;Data;Hora;Temperatura(C);Umidade(%)
283;03/10/2025;20:05:30;22.4;69.6
284;03/10/2025;20:05:50;22.4;69.7
285;03/10/2025;20:06:10;22.3;69.8
286;03/10/2025;20:06:30;22.3;69.9
287;03/10/2025;20:06:50;22.3;70
288;03/10/2025;20:07:10;22.3;70.2
289;03/10/2025;20:07:30;22.3;70
290;03/10/2025;20:07:50;22.4;70
291;03/10/2025;20:08:10;22.4;69.8
292;03/10/2025;20:08:30;22.4;69.8
293;03/10/2025;20:08:50;22.3;69.8
294;03/10/2025;20:09:10;22.3;69.9
295;03/10/2025;20:09:30;22.3;69.9
296;03/10/2025;20:09:50;22.3;69.9
297;03/10/2025;20:10:10;22.2;70
298;03/10/2025;20:10:30;22.2;70.1
299;03/10/2025;20:10:50;22.2;70.2
300;03/10/2025;20:11:10;22.2;70.2
301;03/10/2025;20:11:30;22.2;70.2
302;03/10/2025;20:11:50;22.1;70.2
303;03/10/2025;20:12:10;22.2;70.3
304;03/10/2025;20:12:30;22.1;70.4
305;03/10/2025;20:12:50;22.1;70.3
306;03/10/2025;20:13:10;22.1;70.3
307;03/10/2025;20:13:30;22.1;70.3
308;03/10/2025;20:13:50;22.1;70.3
309;03/10/2025;20:14:10;22.2;70.3
310;03/10/2025;20:14:30;22.2;70.4
311;03/10/2025;20:14:50;22.2;70.3
312;03/10/2025;20:15:10;22.1;70.3
313;03/10/2025;20:15:30;22.1;70.4
314;03/10/2025;20:15:50;22.1;70.3
315;03/10/2025;20:16:10;22.2;70.3
316;03/10/2025;20:16:30;22.2;70.2
317;03/10/2025;20:16:50;22.2;70.1
318;03/10/2025;20:17:10;22.2;70.1
319;03/10/2025;20:17:30;22.2;70.2
320;03/10/2025;20:17:50;22.2;70.2
321;03/10/2025;20:18:10;22.2;70.2
322;03/10/2025;20:18:30;22.2;70.1
323;03/10/2025;20:18:50;22.2;70.1
324;03/10/2025;20:19:10;22.2;70.1
325;03/10/2025;20:19:30;22.2;70
326;03/10/2025;20:19:50;22.3;70.1
327;03/10/2025;20:20:10;22.3;70.3
328;03/10/2025;20:20:30;22.3;70
329;03/10/2025;20:20:50;22.2;70
330;03/10/2025;20:21:10;22.2;70
331;03/10/2025;20:21:30;22.1;70.1
332;03/10/2025;20:21:50;22.1;70.2
333;03/10/2025;20:22:10;22.1;70.3
334;03/10/2025;20:22:30;22.1;70.3
335;03/10/2025;20:22:50;22.1;70.3
336;03/10/2025;20:23:10;22.2;70.3
337;03/10/2025;20:23:30;22.2;70.2
338;03/10/2025;20:23:50;22.2;70.1
339;03/10/2025;20:24:10;22.2;70.1
340;03/10/2025;20:24:30;22.2;70
341;03/10/2025;20:24:50;22.2;70.1
342;03/10/2025;20:25:10;22.2;70.1
343;03/10/2025;20:25:30;22.1;70.1
344;03/10/2025;20:25:50;22.1;70.2
345;03/10/2025;20:26:10;22.1;70.3
346;03/10/2025;20:26:30;22.1;70.4
347;03/10/2025;20:26:50;22.1;70.3
348;03/10/2025;20:27:10;22.1;70.2
349;03/10/2025;20:27:30;22;70.2
350;03/10/2025;20:27:50;22;70.5
351;03/10/2025;20:28:10;22;70.6
352;03/10/2025;20:28:30;21.9;70.7
353;03/10/2025;20:28:50;21.9;70.8
354;03/10/2025;20:29:10;21.9;70.8
355;03/10/2025;20:29:30;22;70.8
356;03/10/2025;20:29:50;21.9;70.7
357;03/10/2025;20:30:10;21.9;70.7
358;03/10/2025;20:30:30;21.9;70.8
359;03/10/2025;20:30:50;21.9;70.9
360;03/10/2025;20:31:10;21.9;70.9
361;03/10/2025;20:31:30;21.9;70.9
362;03/10/2025;20:31:50;21.9;70.9
363;03/10/2025;20:32:10;21.9;70.9
364;03/10/2025;20:32:30;21.9;70.9
365;03/10/2025;20:32:50;21.9;70.8
366;03/10/2025;20:33:10;21.9;70.8
