[2025-09-30 14:44:27] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-09-30 14:44:28, Temp: 36.4, Umid: 26.1
[2025-09-30 14:46:35] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-09-30 14:46:35, Temp: 35.4, Umid: 26.1
[2025-09-30 14:47:29] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-09-30 14:47:30, Temp: 35.9, Umid: 26.3
[2025-09-30 14:49:37] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-09-30 14:49:37, Temp: 35.8, Umid: 25.8
[2025-09-30 14:50:32] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-09-30 14:50:32, Temp: 36.1, Umid: 25.4
[2025-09-30 14:52:40] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-09-30 14:52:40, Temp: 35.9, Umid: 25.0
[2025-09-30 14:53:34] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-09-30 14:53:35, Temp: 35.5, Umid: 26.2
[2025-09-30 14:55:42] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-09-30 14:55:42, Temp: 35.9, Umid: 26.3
[2025-09-30 14:56:36] Dispositivo: Pico W_11f0bb, Leitura: 49, Horario: 2025-09-30 14:56:37, Temp: 35.4, Umid: 26.3
[2025-09-30 14:58:44] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-09-30 14:58:44, Temp: 35.7, Umid: 25.0
[2025-09-30 14:59:38] Dispositivo: Pico W_11f0bb, Leitura: 50, Horario: 2025-09-30 14:59:39, Temp: 35.8, Umid: 25.9
[2025-09-30 15:01:47] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-09-30 15:01:47, Temp: 35.7, Umid: 24.9
[2025-09-30 15:02:41] Dispositivo: Pico W_11f0bb, Leitura: 51, Horario: 2025-09-30 15:02:42, Temp: 35.7, Umid: 25.9
[2025-09-30 15:04:03] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 15:04:03, Temp: 35.7, Umid: 24.5
[2025-09-30 15:05:43] Dispositivo: Pico W_11f0bb, Leitura: 52, Horario: 2025-09-30 15:05:44, Temp: 35.5, Umid: 25.9
[2025-09-30 15:07:19] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 15:07:19, Temp: 36.0, Umid: 24.7
[2025-09-30 15:08:45] Dispositivo: Pico W_11f0bb, Leitura: 53, Horario: 2025-09-30 15:08:46, Temp: 35.5, Umid: 25.8
[2025-09-30 15:10:17] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 15:10:17, Temp: 35.7, Umid: 25.7
[2025-09-30 15:11:48] Dispositivo: Pico W_11f0bb, Leitura: 54, Horario: 2025-09-30 15:11:48, Temp: 35.5, Umid: 25.4
[2025-09-30 15:13:19] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 15:13:19, Temp: 35.5, Umid: 24.5
[2025-09-30 15:14:50] Dispositivo: Pico W_11f0bb, Leitura: 55, Horario: 2025-09-30 15:14:51, Temp: 35.6, Umid: 25.7
[2025-09-30 15:16:22] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-09-30 15:16:22, Temp: 35.5, Umid: 24.6
[2025-09-30 15:17:52] Dispositivo: Pico W_11f0bb, Leitura: 56, Horario: 2025-09-30 15:17:53, Temp: 35.6, Umid: 25.4
[2025-09-30 15:19:24] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-09-30 15:19:24, Temp: 36.0, Umid: 24.4
[2025-09-30 15:20:55] Dispositivo: Pico W_11f0bb, Leitura: 57, Horario: 2025-09-30 15:20:55, Temp: 35.4, Umid: 24.6
[2025-09-30 15:22:26] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-09-30 15:22:26, Temp: 35.9, Umid: 22.9
[2025-09-30 15:23:57] Dispositivo: Pico W_11f0bb, Leitura: 58, Horario: 2025-09-30 15:23:58, Temp: 35.4, Umid: 24.8
[2025-09-30 15:25:29] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-09-30 15:25:29, Temp: 35.8, Umid: 22.9
[2025-09-30 15:26:59] Dispositivo: Pico W_11f0bb, Leitura: 59, Horario: 2025-09-30 15:27:00, Temp: 35.6, Umid: 24.3
[2025-09-30 15:28:31] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-09-30 15:28:31, Temp: 36.0, Umid: 23.4
[2025-09-30 15:30:02] Dispositivo: Pico W_11f0bb, Leitura: 60, Horario: 2025-09-30 15:30:02, Temp: 35.7, Umid: 24.9
[2025-09-30 15:31:33] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-09-30 15:31:33, Temp: 36.0, Umid: 24.5
[2025-09-30 15:33:04] Dispositivo: Pico W_11f0bb, Leitura: 61, Horario: 2025-09-30 15:33:05, Temp: 35.7, Umid: 25.2
[2025-09-30 15:34:36] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-09-30 15:34:36, Temp: 36.0, Umid: 23.7
[2025-09-30 15:36:06] Dispositivo: Pico W_11f0bb, Leitura: 62, Horario: 2025-09-30 15:36:07, Temp: 35.8, Umid: 24.7
[2025-09-30 15:37:38] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-09-30 15:37:38, Temp: 36.2, Umid: 23.3
[2025-09-30 15:39:09] Dispositivo: Pico W_11f0bb, Leitura: 63, Horario: 2025-09-30 15:39:09, Temp: 35.7, Umid: 24.6
[2025-09-30 15:42:11] Dispositivo: Pico W_11f0bb, Leitura: 64, Horario: 2025-09-30 15:42:12, Temp: 35.7, Umid: 23.9
[2025-09-30 15:45:13] Dispositivo: Pico W_11f0bb, Leitura: 65, Horario: 2025-09-30 15:45:14, Temp: 35.7, Umid: 24.4
[2025-09-30 15:48:15] Dispositivo: Pico W_11f0bb, Leitura: 66, Horario: 2025-09-30 15:48:16, Temp: 35.5, Umid: 24.2
[2025-09-30 15:51:18] Dispositivo: Pico W_11f0bb, Leitura: 67, Horario: 2025-09-30 15:51:18, Temp: 35.3, Umid: 23.2
[2025-09-30 15:54:20] Dispositivo: Pico W_11f0bb, Leitura: 68, Horario: 2025-09-30 15:54:21, Temp: 35.2, Umid: 23.9
[2025-09-30 15:57:22] Dispositivo: Pico W_11f0bb, Leitura: 69, Horario: 2025-09-30 15:57:23, Temp: 35.4, Umid: 24.1
[2025-09-30 16:00:25] Dispositivo: Pico W_11f0bb, Leitura: 70, Horario: 2025-09-30 16:00:25, Temp: 35.4, Umid: 23.5
[2025-09-30 16:03:27] Dispositivo: Pico W_11f0bb, Leitura: 71, Horario: 2025-09-30 16:03:28, Temp: 35.0, Umid: 23.8
[2025-09-30 16:06:29] Dispositivo: Pico W_11f0bb, Leitura: 72, Horario: 2025-09-30 16:06:30, Temp: 35.0, Umid: 24.1
[2025-09-30 16:09:32] Dispositivo: Pico W_11f0bb, Leitura: 73, Horario: 2025-09-30 16:09:32, Temp: 34.8, Umid: 24.2
[2025-09-30 16:12:34] Dispositivo: Pico W_11f0bb, Leitura: 74, Horario: 2025-09-30 16:12:35, Temp: 34.8, Umid: 24.2
[2025-09-30 16:15:36] Dispositivo: Pico W_11f0bb, Leitura: 75, Horario: 2025-09-30 16:15:37, Temp: 34.9, Umid: 25.6
[2025-09-30 16:18:39] Dispositivo: Pico W_11f0bb, Leitura: 76, Horario: 2025-09-30 16:18:39, Temp: 34.9, Umid: 25.3
[2025-09-30 16:21:41] Dispositivo: Pico W_11f0bb, Leitura: 77, Horario: 2025-09-30 16:21:42, Temp: 34.8, Umid: 24.7
[2025-09-30 16:24:44] Dispositivo: Pico W_11f0bb, Leitura: 78, Horario: 2025-09-30 16:24:44, Temp: 34.7, Umid: 24.6
[2025-09-30 16:27:46] Dispositivo: Pico W_11f0bb, Leitura: 79, Horario: 2025-09-30 16:27:46, Temp: 34.7, Umid: 24.0
[2025-09-30 16:30:48] Dispositivo: Pico W_11f0bb, Leitura: 80, Horario: 2025-09-30 16:30:49, Temp: 34.5, Umid: 24.7
[2025-09-30 16:33:50] Dispositivo: Pico W_11f0bb, Leitura: 81, Horario: 2025-09-30 16:33:51, Temp: 34.3, Umid: 25.0
[2025-09-30 16:36:52] Dispositivo: Pico W_11f0bb, Leitura: 82, Horario: 2025-09-30 16:36:53, Temp: 34.2, Umid: 24.1
[2025-09-30 16:39:55] Dispositivo: Pico W_11f0bb, Leitura: 83, Horario: 2025-09-30 16:39:55, Temp: 34.2, Umid: 22.9
[2025-09-30 16:42:57] Dispositivo: Pico W_11f0bb, Leitura: 84, Horario: 2025-09-30 16:42:58, Temp: 34.2, Umid: 23.4
[2025-09-30 16:45:59] Dispositivo: Pico W_11f0bb, Leitura: 85, Horario: 2025-09-30 16:46:00, Temp: 34.0, Umid: 25.8
[2025-09-30 16:49:02] Dispositivo: Pico W_11f0bb, Leitura: 86, Horario: 2025-09-30 16:49:02, Temp: 33.9, Umid: 25.5
