[2025-10-01 10:49:00] Dispositivo: Pico W_11f0bb, Leitura: 41, Horario: 2025-10-01 10:49:01, Temp: 34.0, Umid: 37.4
[2025-10-01 10:51:44] Dispositivo: Pico W_11f60f, Leitura: 42, Horario: 2025-10-01 10:51:45, Temp: 32.7, Umid: 38.1
[2025-10-01 10:52:02] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-10-01 10:52:03, Temp: 33.1, Umid: 38.7
[2025-10-01 10:54:47] Dispositivo: Pico W_11f60f, Leitura: 43, Horario: 2025-10-01 10:54:47, Temp: 32.7, Umid: 38.0
[2025-10-01 10:55:05] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-10-01 10:55:05, Temp: 33.3, Umid: 38.2
[2025-10-01 10:57:49] Dispositivo: Pico W_11f60f, Leitura: 44, Horario: 2025-10-01 10:57:49, Temp: 32.4, Umid: 38.5
[2025-10-01 10:58:07] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-10-01 10:58:08, Temp: 32.9, Umid: 38.7
[2025-10-01 11:00:51] Dispositivo: Pico W_11f60f, Leitura: 45, Horario: 2025-10-01 11:00:52, Temp: 31.9, Umid: 37.3
[2025-10-01 11:01:09] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-10-01 11:01:10, Temp: 32.1, Umid: 38.3
[2025-10-01 11:03:53] Dispositivo: Pico W_11f60f, Leitura: 46, Horario: 2025-10-01 11:03:54, Temp: 31.9, Umid: 37.5
[2025-10-01 11:04:12] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-10-01 11:04:12, Temp: 32.0, Umid: 39.1
[2025-10-01 11:06:56] Dispositivo: Pico W_11f60f, Leitura: 47, Horario: 2025-10-01 11:06:56, Temp: 31.8, Umid: 39.0
[2025-10-01 11:07:14] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-10-01 11:07:15, Temp: 32.1, Umid: 39.5
[2025-10-01 11:09:58] Dispositivo: Pico W_11f60f, Leitura: 48, Horario: 2025-10-01 11:09:59, Temp: 31.6, Umid: 39.5
[2025-10-01 11:10:16] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-10-01 11:10:17, Temp: 32.1, Umid: 39.1
