[2025-10-02 10:03:49] Dispositivo: Pico W_11f60f, Leitura: 65, Horario: 2025-10-02 10:03:50, Temp: 23.0, Umid: 64.6
[2025-10-02 10:04:12] Dispositivo: Pico W_11f60f, Leitura: 66, Horario: 2025-10-02 10:04:12, Temp: 23.0, Umid: 64.5
[2025-10-02 10:04:34] Dispositivo: Pico W_11f60f, Leitura: 67, Horario: 2025-10-02 10:04:34, Temp: 23.0, Umid: 64.6
[2025-10-02 10:04:56] Dispositivo: Pico W_11f60f, Leitura: 68, Horario: 2025-10-02 10:04:57, Temp: 23.0, Umid: 64.5
[2025-10-02 10:05:18] Dispositivo: Pico W_11f60f, Leitura: 69, Horario: 2025-10-02 10:05:19, Temp: 23.1, Umid: 64.3
[2025-10-02 10:05:41] Dispositivo: Pico W_11f60f, Leitura: 70, Horario: 2025-10-02 10:05:41, Temp: 23.1, Umid: 64.1
[2025-10-02 10:06:03] Dispositivo: Pico W_11f60f, Leitura: 71, Horario: 2025-10-02 10:06:04, Temp: 23.1, Umid: 64.0
[2025-10-02 10:06:26] Dispositivo: Pico W_11f60f, Leitura: 72, Horario: 2025-10-02 10:06:26, Temp: 23.1, Umid: 64.2
[2025-10-02 10:06:40] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-10-02 10:06:40, Temp: 25.7, Umid: 55.0
[2025-10-02 10:06:48] Dispositivo: Pico W_11f60f, Leitura: 73, Horario: 2025-10-02 10:06:48, Temp: 23.1, Umid: 64.2
[2025-10-02 10:07:10] Dispositivo: Pico W_11f60f, Leitura: 74, Horario: 2025-10-02 10:07:10, Temp: 23.0, Umid: 64.1
[2025-10-02 10:07:32] Dispositivo: Pico W_11f60f, Leitura: 75, Horario: 2025-10-02 10:07:33, Temp: 23.0, Umid: 63.9
[2025-10-02 10:07:55] Dispositivo: Pico W_11f60f, Leitura: 76, Horario: 2025-10-02 10:07:55, Temp: 23.0, Umid: 64.2
[2025-10-02 10:08:17] Dispositivo: Pico W_11f60f, Leitura: 77, Horario: 2025-10-02 10:08:17, Temp: 23.0, Umid: 64.3
[2025-10-02 10:08:39] Dispositivo: Pico W_11f60f, Leitura: 78, Horario: 2025-10-02 10:08:40, Temp: 23.0, Umid: 64.4
[2025-10-02 10:09:02] Dispositivo: Pico W_11f60f, Leitura: 79, Horario: 2025-10-02 10:09:02, Temp: 23.0, Umid: 64.6
[2025-10-02 10:09:24] Dispositivo: Pico W_11f60f, Leitura: 80, Horario: 2025-10-02 10:09:24, Temp: 23.1, Umid: 64.8
[2025-10-02 10:09:46] Dispositivo: Pico W_11f60f, Leitura: 81, Horario: 2025-10-02 10:09:47, Temp: 23.1, Umid: 64.8
[2025-10-02 10:10:08] Dispositivo: Pico W_11f60f, Leitura: 82, Horario: 2025-10-02 10:10:09, Temp: 23.1, Umid: 64.5
