Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
147;Pico W_F0BB;2021-01-01 00:49:29;22.20;73.70
148;Pico W_F0BB;2021-01-01 00:49:50;22.20;73.90
149;Pico W_F0BB;2021-01-01 00:50:10;22.10;73.30
150;Pico W_F0BB;2021-01-01 00:50:30;22.10;73.40
151;Pico W_F0BB;2021-01-01 00:50:51;22.10;73.40
152;Pico W_F0BB;2021-01-01 00:51:11;22.10;73.20
153;Pico W_F0BB;2021-01-01 00:51:31;22.10;72.80
154;Pico W_F0BB;2021-01-01 00:51:52;22.10;73.00
155;Pico W_F0BB;2021-01-01 00:52:12;22.10;73.50
156;Pico W_F0BB;2021-01-01 00:52:32;22.00;74.40
157;Pico W_F0BB;2021-01-01 00:52:53;22.00;74.20
158;Pico W_F0BB;2021-01-01 00:53:13;21.90;73.90
159;Pico W_F0BB;2021-01-01 00:53:33;21.90;73.90
160;Pico W_F0BB;2021-01-01 00:53:53;21.90;73.70
161;Pico W_F0BB;2021-01-01 00:54:14;21.80;73.80
162;Pico W_F0BB;2021-01-01 00:54:34;21.80;74.80
163;Pico W_F0BB;2021-01-01 00:54:54;21.80;75.10
164;Pico W_F0BB;2021-01-01 00:55:15;21.70;76.50
165;Pico W_F0BB;2021-01-01 00:55:35;21.60;77.50
166;Pico W_F0BB;2021-01-01 00:55:55;21.50;77.30
167;Pico W_F0BB;2021-01-01 00:56:16;21.40;78.70
168;Pico W_F0BB;2021-01-01 00:56:36;21.30;79.50
169;Pico W_F0BB;2021-01-01 00:56:56;21.20;80.40
170;Pico W_F0BB;2021-01-01 00:57:16;21.20;80.50
171;Pico W_F0BB;2021-01-01 00:57:37;21.10;80.60
172;Pico W_F0BB;2021-01-01 00:57:57;21.00;81.20
173;Pico W_F0BB;2021-01-01 00:58:17;20.90;81.60
174;Pico W_F0BB;2021-01-01 00:58:38;20.90;81.90
175;Pico W_F0BB;2021-01-01 00:58:58;20.90;82.10
176;Pico W_F0BB;2021-01-01 00:59:18;20.80;82.30
177;Pico W_F0BB;2021-01-01 00:59:39;20.70;82.60
178;Pico W_F0BB;2021-01-01 00:59:59;20.70;82.80
179;Pico W_F0BB;2021-01-01 01:00:19;20.70;82.90
180;Pico W_F0BB;2021-01-01 01:00:40;20.70;83.10
181;Pico W_F0BB;2021-01-01 01:01:00;20.60;82.80
182;Pico W_F0BB;2021-01-01 01:01:20;20.60;82.50
183;Pico W_F0BB;2021-01-01 01:01:40;20.60;82.10
184;Pico W_F0BB;2021-01-01 01:02:01;20.60;82.40
185;Pico W_F0BB;2021-01-01 01:02:21;20.60;82.60
186;Pico W_F0BB;2021-01-01 01:02:41;20.60;82.70
187;Pico W_F0BB;2021-01-01 01:03:02;20.50;82.70
188;Pico W_F0BB;2021-01-01 01:03:22;20.50;82.30
189;Pico W_F0BB;2021-01-01 01:03:42;20.50;82.90
190;Pico W_F0BB;2021-01-01 01:04:03;20.50;83.00
191;Pico W_F0BB;2021-01-01 01:04:23;20.60;83.30
192;Pico W_F0BB;2021-01-01 01:04:43;20.50;83.30
193;Pico W_F0BB;2021-01-01 01:05:03;20.50;83.40
194;Pico W_F0BB;2021-01-01 01:05:24;20.50;83.70
195;Pico W_F0BB;2021-01-01 01:05:44;20.50;83.50
196;Pico W_F0BB;2021-01-01 01:06:04;20.50;83.70
197;Pico W_F0BB;2021-01-01 01:06:25;20.50;83.90
198;Pico W_F0BB;2021-01-01 01:06:45;20.50;84.20
199;Pico W_F0BB;2021-01-01 01:07:05;20.40;83.90
200;Pico W_F0BB;2021-01-01 01:07:26;20.40;83.40
201;Pico W_F0BB;2021-01-01 01:07:46;20.40;83.50
202;Pico W_F0BB;2021-01-01 01:08:06;20.40;83.90
203;Pico W_F0BB;2021-01-01 01:08:26;20.50;83.60
204;Pico W_F0BB;2021-01-01 01:08:47;20.50;83.00
205;Pico W_F0BB;2021-01-01 01:09:07;20.50;82.30
206;Pico W_F0BB;2021-01-01 01:09:27;20.50;82.50
207;Pico W_F0BB;2021-01-01 01:09:48;20.60;82.90
208;Pico W_F0BB;2021-01-01 01:10:08;20.60;82.50
209;Pico W_F0BB;2021-01-01 01:10:28;20.70;82.30
210;Pico W_F0BB;2021-01-01 01:10:49;20.80;82.50
211;Pico W_F0BB;2021-01-01 01:11:09;20.80;82.50
212;Pico W_F0BB;2021-01-01 01:11:29;20.90;82.20
213;Pico W_F0BB;2021-01-01 01:11:50;20.90;81.80
214;Pico W_F0BB;2021-01-01 01:12:10;21.00;81.10
215;Pico W_F0BB;2021-01-01 01:12:30;21.10;80.60
216;Pico W_F0BB;2021-01-01 01:12:50;21.30;80.50
217;Pico W_F0BB;2021-01-01 01:13:11;21.40;80.30
218;Pico W_F0BB;2021-01-01 01:13:31;21.40;79.90
219;Pico W_F0BB;2021-01-01 01:13:51;21.40;78.60
220;Pico W_F0BB;2021-01-01 01:14:12;21.40;78.50
221;Pico W_F0BB;2021-01-01 01:14:32;21.40;78.70
222;Pico W_F0BB;2021-01-01 01:14:52;21.40;78.60
223;Pico W_F0BB;2021-01-01 01:15:13;21.40;78.70
224;Pico W_F0BB;2021-01-01 01:15:33;21.50;78.20
225;Pico W_F0BB;2021-01-01 01:15:53;21.50;77.40
226;Pico W_F0BB;2021-01-01 01:16:13;21.60;76.80
227;Pico W_F0BB;2021-01-01 01:16:34;21.50;76.70
228;Pico W_F0BB;2021-01-01 01:16:54;21.50;76.30
229;Pico W_F0BB;2021-01-01 01:17:14;21.50;76.60
230;Pico W_F0BB;2021-01-01 01:17:35;21.50;76.10
231;Pico W_F0BB;2021-01-01 01:17:55;21.50;76.00
232;Pico W_F0BB;2021-01-01 01:18:15;21.40;76.00
233;Pico W_F0BB;2021-01-01 01:18:36;21.40;76.20
234;Pico W_F0BB;2021-01-01 01:18:56;21.40;76.30
235;Pico W_F0BB;2021-01-01 01:19:16;21.40;75.10
236;Pico W_F0BB;2021-01-01 01:19:37;21.40;75.80
237;Pico W_F0BB;2021-01-01 01:19:57;21.40;76.10
238;Pico W_F0BB;2021-01-01 01:20:17;21.30;76.80
239;Pico W_F0BB;2021-01-01 01:20:37;21.30;79.30
240;Pico W_F0BB;2021-01-01 01:20:58;21.20;79.70
241;Pico W_F0BB;2021-01-01 01:21:18;21.10;79.50
242;Pico W_F0BB;2021-01-01 01:21:38;21.00;79.70
243;Pico W_F0BB;2021-01-01 01:21:59;21.00;79.20
244;Pico W_F0BB;2021-01-01 01:22:19;21.00;79.10
245;Pico W_F0BB;2021-01-01 01:22:39;21.00;77.90
246;Pico W_F0BB;2021-01-01 01:23:00;21.00;78.40
247;Pico W_F0BB;2021-01-01 01:23:20;21.00;78.90
248;Pico W_F0BB;2021-01-01 01:23:40;21.00;79.70
249;Pico W_F0BB;2021-01-01 01:24:00;20.90;80.50
250;Pico W_F0BB;2021-01-01 01:24:21;20.80;80.60
251;Pico W_F0BB;2021-01-01 01:24:41;20.80;80.90
252;Pico W_F0BB;2021-01-01 01:25:01;20.70;80.60
253;Pico W_F0BB;2021-01-01 01:25:22;20.70;80.40
254;Pico W_F0BB;2021-01-01 01:25:42;20.70;80.50
255;Pico W_F0BB;2021-01-01 01:26:02;20.60;81.50
256;Pico W_F0BB;2021-01-01 01:26:23;20.60;82.20
257;Pico W_F0BB;2021-01-01 01:26:43;20.50;82.40
258;Pico W_F0BB;2021-01-01 01:27:03;20.40;82.50
259;Pico W_F0BB;2021-01-01 01:27:24;20.40;82.30
260;Pico W_F0BB;2021-01-01 01:27:44;20.30;82.60
261;Pico W_F0BB;2021-01-01 01:28:04;20.30;83.20
262;Pico W_F0BB;2021-01-01 01:28:24;20.20;83.40
263;Pico W_F0BB;2021-01-01 01:28:45;20.20;83.30
264;Pico W_F0BB;2021-01-01 01:29:05;20.20;83.20
265;Pico W_F0BB;2021-01-01 01:29:25;20.20;82.80
266;Pico W_F0BB;2021-01-01 01:29:46;20.20;82.60
267;Pico W_F0BB;2021-01-01 01:30:06;20.20;82.50
268;Pico W_F0BB;2021-01-01 01:30:26;20.20;82.60
269;Pico W_F0BB;2021-01-01 01:30:47;20.10;82.90
270;Pico W_F0BB;2021-01-01 01:31:07;20.20;83.10
271;Pico W_F0BB;2021-01-01 01:31:27;20.10;83.00
272;Pico W_F0BB;2021-01-01 01:31:47;20.10;83.60
273;Pico W_F0BB;2021-01-01 01:32:08;20.10;84.60
274;Pico W_F0BB;2021-01-01 01:32:28;20.00;85.40
275;Pico W_F0BB;2021-01-01 01:32:48;19.90;86.10
276;Pico W_F0BB;2021-01-01 01:33:09;19.80;86.70
277;Pico W_F0BB;2021-01-01 01:33:29;19.80;87.00
278;Pico W_F0BB;2021-01-01 01:33:49;19.70;87.30
279;Pico W_F0BB;2021-01-01 01:34:10;19.70;87.40
280;Pico W_F0BB;2021-01-01 01:34:30;19.70;87.40
281;Pico W_F0BB;2021-01-01 01:34:50;19.70;87.50
282;Pico W_F0BB;2021-01-01 01:35:11;19.70;87.70
283;Pico W_F0BB;2021-01-01 01:35:31;19.70;87.80
284;Pico W_F0BB;2021-01-01 01:35:51;19.60;87.90
285;Pico W_F0BB;2021-01-01 01:36:11;19.60;88.00
286;Pico W_F0BB;2021-01-01 01:36:32;19.60;88.10
287;Pico W_F0BB;2021-01-01 01:36:52;19.60;88.10
288;Pico W_F0BB;2021-01-01 01:37:12;19.60;88.10
289;Pico W_F0BB;2021-01-01 01:37:33;19.50;88.30
290;Pico W_F0BB;2021-01-01 01:37:53;19.50;88.50
291;Pico W_F0BB;2021-01-01 01:38:13;19.50;88.70
292;Pico W_F0BB;2021-01-01 01:38:34;19.50;88.70
293;Pico W_F0BB;2021-01-01 01:38:54;19.50;88.80
294;Pico W_F0BB;2021-01-01 01:39:14;19.50;88.90
295;Pico W_F0BB;2021-01-01 01:39:34;19.50;89.00
296;Pico W_F0BB;2021-01-01 01:39:55;19.50;88.90
297;Pico W_F0BB;2021-01-01 01:40:15;19.50;88.90
298;Pico W_F0BB;2021-01-01 01:40:35;19.50;88.80
299;Pico W_F0BB;2021-01-01 01:40:56;19.50;88.80
300;Pico W_F0BB;2021-01-01 01:41:16;19.50;88.60
301;Pico W_F0BB;2021-01-01 01:41:36;19.50;88.50
302;Pico W_F0BB;2021-01-01 01:41:57;19.50;88.60
303;Pico W_F0BB;2021-01-01 01:42:17;19.50;88.70
304;Pico W_F0BB;2021-01-01 01:42:37;19.50;88.60
305;Pico W_F0BB;2021-01-01 01:42:58;19.50;88.80
306;Pico W_F0BB;2021-01-01 01:43:18;19.50;88.70
307;Pico W_F0BB;2021-01-01 01:43:38;19.50;88.60
308;Pico W_F0BB;2021-01-01 01:43:58;19.50;88.50
309;Pico W_F0BB;2021-01-01 01:44:19;19.50;88.70
310;Pico W_F0BB;2021-01-01 01:44:39;19.50;88.90
311;Pico W_F0BB;2021-01-01 01:44:59;19.50;88.90
312;Pico W_F0BB;2021-01-01 01:45:20;19.50;88.70
313;Pico W_F0BB;2021-01-01 01:45:40;19.50;88.90
314;Pico W_F0BB;2021-01-01 01:46:00;19.50;88.10
315;Pico W_F0BB;2021-01-01 01:46:21;19.50;87.70
316;Pico W_F0BB;2021-01-01 01:46:41;19.60;87.50
317;Pico W_F0BB;2021-01-01 01:47:01;19.60;87.40
318;Pico W_F0BB;2021-01-01 01:47:21;19.60;87.60
319;Pico W_F0BB;2021-01-01 01:47:42;19.60;87.60
320;Pico W_F0BB;2021-01-01 01:48:02;19.60;87.30
321;Pico W_F0BB;2021-01-01 01:48:22;19.60;87.10
322;Pico W_F0BB;2021-01-01 01:48:43;19.60;87.40
323;Pico W_F0BB;2021-01-01 01:49:03;19.60;87.20
324;Pico W_F0BB;2021-01-01 01:49:23;19.60;86.90
325;Pico W_F0BB;2021-01-01 01:49:44;19.60;87.20
326;Pico W_F0BB;2021-01-01 01:50:04;19.60;87.10
327;Pico W_F0BB;2021-01-01 01:50:24;19.60;86.60
328;Pico W_F0BB;2021-01-01 01:50:45;19.60;86.80
329;Pico W_F0BB;2021-01-01 01:51:05;19.60;86.70
330;Pico W_F0BB;2021-01-01 01:51:25;19.60;86.40
331;Pico W_F0BB;2021-01-01 01:51:45;19.60;86.40
332;Pico W_F0BB;2021-01-01 01:52:06;19.60;86.60
333;Pico W_F0BB;2021-01-01 01:52:26;19.60;86.60
334;Pico W_F0BB;2021-01-01 01:52:46;19.60;86.80
335;Pico W_F0BB;2021-01-01 01:53:07;19.60;86.90
336;Pico W_F0BB;2021-01-01 01:53:27;19.60;86.70
337;Pico W_F0BB;2021-01-01 01:53:47;19.50;86.60
338;Pico W_F0BB;2021-01-01 01:54:08;19.60;86.90
339;Pico W_F0BB;2021-01-01 01:54:28;19.50;86.80
340;Pico W_F0BB;2021-01-01 01:54:48;19.50;86.40
341;Pico W_F0BB;2021-01-01 01:55:08;19.60;86.90
342;Pico W_F0BB;2021-01-01 01:55:29;19.50;87.50
343;Pico W_F0BB;2021-01-01 01:55:49;19.50;87.30
344;Pico W_F0BB;2021-01-01 01:56:09;19.50;87.50
345;Pico W_F0BB;2021-01-01 01:56:30;19.50;87.30
346;Pico W_F0BB;2021-01-01 01:56:50;19.40;87.40
347;Pico W_F0BB;2021-01-01 01:57:10;19.50;87.20
348;Pico W_F0BB;2021-01-01 01:57:31;19.50;86.80
349;Pico W_F0BB;2021-01-01 01:57:51;19.50;86.70
350;Pico W_F0BB;2021-01-01 01:58:11;19.50;86.00
