[2025-10-04 11:26:22] Dispositivo: Pico W_11f60f, Leitura: 137, Horario: 2025-10-04 11:26:20, Temp: 25.5, Umid: 54.9
[2025-10-04 11:26:42] Dispositivo: Pico W_11f60f, Leitura: 138, Horario: 2025-10-04 11:26:42, Temp: 25.4, Umid: 54.9
[2025-10-04 11:27:04] Dispositivo: Pico W_11f60f, Leitura: 139, Horario: 2025-10-04 11:27:05, Temp: 25.4, Umid: 54.8
[2025-10-04 11:27:26] Dispositivo: Pico W_11f60f, Leitura: 140, Horario: 2025-10-04 11:27:27, Temp: 25.4, Umid: 55.0
[2025-10-04 11:27:49] Dispositivo: Pico W_11f60f, Leitura: 141, Horario: 2025-10-04 11:27:49, Temp: 25.4, Umid: 54.7
[2025-10-04 11:28:11] Dispositivo: Pico W_11f60f, Leitura: 142, Horario: 2025-10-04 11:28:11, Temp: 25.4, Umid: 54.4
[2025-10-04 11:28:33] Dispositivo: Pico W_11f60f, Leitura: 143, Horario: 2025-10-04 11:28:34, Temp: 25.4, Umid: 54.2
[2025-10-04 11:28:56] Dispositivo: Pico W_11f60f, Leitura: 144, Horario: 2025-10-04 11:28:56, Temp: 25.4, Umid: 54.3
[2025-10-04 11:29:18] Dispositivo: Pico W_11f60f, Leitura: 145, Horario: 2025-10-04 11:29:18, Temp: 25.4, Umid: 55.2
[2025-10-04 11:29:40] Dispositivo: Pico W_11f60f, Leitura: 146, Horario: 2025-10-04 11:29:41, Temp: 25.4, Umid: 55.2
[2025-10-04 11:30:02] Dispositivo: Pico W_11f60f, Leitura: 147, Horario: 2025-10-04 11:30:03, Temp: 25.4, Umid: 55.5
[2025-10-04 11:30:25] Dispositivo: Pico W_11f60f, Leitura: 148, Horario: 2025-10-04 11:30:25, Temp: 25.4, Umid: 55.2
[2025-10-04 11:30:47] Dispositivo: Pico W_11f60f, Leitura: 149, Horario: 2025-10-04 11:30:48, Temp: 25.4, Umid: 55.2
[2025-10-04 11:31:09] Dispositivo: Pico W_11f60f, Leitura: 150, Horario: 2025-10-04 11:31:10, Temp: 25.4, Umid: 55.5
[2025-10-04 11:31:32] Dispositivo: Pico W_11f60f, Leitura: 151, Horario: 2025-10-04 11:31:32, Temp: 25.4, Umid: 56.2
[2025-10-04 11:31:54] Dispositivo: Pico W_11f60f, Leitura: 152, Horario: 2025-10-04 11:31:55, Temp: 25.4, Umid: 56.9
[2025-10-04 11:32:16] Dispositivo: Pico W_11f60f, Leitura: 153, Horario: 2025-10-04 11:32:17, Temp: 25.4, Umid: 56.3
[2025-10-04 11:32:39] Dispositivo: Pico W_11f60f, Leitura: 154, Horario: 2025-10-04 11:32:39, Temp: 25.4, Umid: 55.8
[2025-10-04 11:33:01] Dispositivo: Pico W_11f60f, Leitura: 155, Horario: 2025-10-04 11:33:01, Temp: 25.4, Umid: 56.9
[2025-10-04 11:33:23] Dispositivo: Pico W_11f60f, Leitura: 156, Horario: 2025-10-04 11:33:24, Temp: 25.4, Umid: 56.7
[2025-10-04 11:33:46] Dispositivo: Pico W_11f60f, Leitura: 157, Horario: 2025-10-04 11:33:46, Temp: 25.4, Umid: 55.9
[2025-10-04 11:34:08] Dispositivo: Pico W_11f60f, Leitura: 158, Horario: 2025-10-04 11:34:08, Temp: 25.4, Umid: 56.5
[2025-10-04 11:34:32] Dispositivo: Pico W_11f60f, Leitura: 159, Horario: 2025-10-04 11:34:31, Temp: 25.3, Umid: 56.3
[2025-10-04 11:34:52] Dispositivo: Pico W_11f60f, Leitura: 160, Horario: 2025-10-04 11:34:53, Temp: 25.3, Umid: 57.0
[2025-10-04 11:35:15] Dispositivo: Pico W_11f60f, Leitura: 161, Horario: 2025-10-04 11:35:15, Temp: 25.3, Umid: 56.5
[2025-10-04 11:35:37] Dispositivo: Pico W_11f60f, Leitura: 162, Horario: 2025-10-04 11:35:38, Temp: 25.4, Umid: 56.6
[2025-10-04 11:35:59] Dispositivo: Pico W_11f60f, Leitura: 163, Horario: 2025-10-04 11:36:00, Temp: 25.4, Umid: 56.9
[2025-10-04 11:36:22] Dispositivo: Pico W_11f60f, Leitura: 164, Horario: 2025-10-04 11:36:22, Temp: 25.4, Umid: 57.2
